Date,Close/Last,Volume,Open,High,Low
08/11/2023,$301.64,14046250,$302.57,$304.72,$300.36
08/10/2023,$305.74,14358900,$307.94,$312.339,$303.87
08/09/2023,$305.21,19955780,$312.88,$313.63,$302.85
08/08/2023,$312.64,15183530,$314.40,$317.89,$310.11
08/07/2023,$316.56,16236500,$313.23,$317.07,$310.46
08/04/2023,$310.73,17612760,$314.96,$318.41,$310.20
08/03/2023,$313.19,15215420,$309.93,$315.9499,$309.93
08/02/2023,$314.31,20461090,$318.00,$318.39,$310.65
08/01/2023,$322.71,22889870,$317.535,$324.14,$314.66
07/31/2023,$318.60,25799600,$323.69,$325.6599,$317.59
07/28/2023,$325.48,39220270,$316.875,$326.20,$314.2481
07/27/2023,$311.71,64229170,$325.12,$325.35,$309.84
07/26/2023,$298.57,47256930,$301.19,$301.77,$291.90
07/25/2023,$294.47,19585580,$295.19,$298.30,$291.86
07/24/2023,$291.61,24949410,$295.78,$297.52,$288.3001
07/21/2023,$294.26,42139260,$304.57,$305.46,$291.20
07/20/2023,$302.52,23836880,$313.50,$315.54,$302.22
07/19/2023,$316.01,21763690,$313.03,$318.68,$310.52
07/18/2023,$312.05,20764580,$310.875,$314.20,$307.6188
07/17/2023,$310.62,25323130,$307.54,$311.71,$304.71
07/14/2023,$308.87,23054110,$311.79,$314.88,$307.3612
07/13/2023,$313.41,30280970,$313.62,$316.24,$310.2901
07/12/2023,$309.34,36677130,$301.745,$309.45,$300.1004
07/11/2023,$298.29,27585920,$293.90,$300.18,$291.90
07/10/2023,$294.10,37058310,$295.55,$298.13,$287.05
07/07/2023,$290.53,25585980,$292.18,$296.20,$288.66
07/06/2023,$291.99,47733830,$295.885,$298.12,$291.31
07/05/2023,$294.37,33865460,$287.65,$298.12,$286.36
07/03/2023,$286.02,8608555,$286.70,$289.40,$284.8499
06/30/2023,$286.98,19694870,$284.76,$289.05,$284.415
06/29/2023,$281.53,15395690,$284.50,$286.57,$280.69
06/28/2023,$285.29,16722120,$284.82,$289.55,$284.06
06/27/2023,$287.05,26108260,$282.01,$289.345,$280.655
06/26/2023,$278.47,24232650,$288.70,$289.79,$277.60
06/23/2023,$288.73,51092040,$281.51,$289.67,$278.95
06/22/2023,$284.88,17563060,$279.08,$285.26,$277.79
06/21/2023,$281.64,20556170,$283.53,$284.00,$278.36
06/20/2023,$284.33,20701590,$278.73,$284.80,$276.22
06/16/2023,$281.00,43127730,$284.75,$287.85,$280.13
06/15/2023,$281.83,25973460,$272.30,$283.99,$271.42
06/14/2023,$273.35,19175070,$271.89,$274.99,$268.315
06/13/2023,$271.32,16164020,$274.88,$275.72,$269.0923
06/12/2023,$271.05,15471700,$267.17,$271.75,$265.33
06/09/2023,$264.95,16949790,$262.48,$267.949,$261.70
06/08/2023,$264.58,20899360,$260.62,$267.65,$258.88
06/07/2023,$263.60,26163630,$271.67,$274.25,$262.80
06/06/2023,$271.12,19419010,$270.14,$276.57,$269.69
06/05/2023,$271.39,20742950,$270.30,$275.57,$269.56
06/02/2023,$272.61,19416930,$272.66,$275.35,$271.12
06/01/2023,$272.61,25609510,$265.90,$274.00,$265.89
05/31/2023,$264.72,25473690,$260.00,$265.00,$258.45
05/30/2023,$262.52,23816480,$265.25,$268.65,$261.29
05/26/2023,$262.04,25768660,$252.93,$262.3107,$252.71
05/25/2023,$252.69,22371440,$253.40,$255.62,$249.17
05/24/2023,$249.21,17724340,$245.28,$249.5892,$244.952
05/23/2023,$246.74,17748120,$246.81,$251.61,$246.65
05/22/2023,$248.32,27738480,$245.41,$253.57,$245.12
05/19/2023,$245.64,21733580,$247.47,$248.69,$243.41
05/18/2023,$246.85,22943300,$241.30,$247.0881,$241.19
05/17/2023,$242.485,21193080,$238.45,$243.8423,$238.14
05/16/2023,$238.82,18163770,$235.79,$239.635,$235.52
05/15/2023,$238.86,20653230,$236.92,$240.255,$235.33
05/12/2023,$233.81,16161450,$236.74,$236.9599,$231.45
05/11/2023,$235.79,20448990,$233.05,$238.21,$232.30
05/10/2023,$233.08,19119010,$236.17,$236.75,$230.72
05/09/2023,$233.37,16865590,$231.46,$235.88,$231.08
05/08/2023,$233.27,16400530,$231.415,$235.62,$230.27
05/05/2023,$232.78,27000480,$232.24,$234.68,$229.85
05/04/2023,$233.52,17889390,$236.06,$238.20,$232.9264
05/03/2023,$237.03,34463860,$239.47,$241.75,$232.75
05/02/2023,$239.24,24350150,$243.18,$244.92,$238.99
05/01/2023,$243.18,29143910,$238.615,$244.00,$236.46
04/28/2023,$240.32,39554040,$239.01,$240.43,$235.75
04/27/2023,$238.56,71196530,$239.89,$241.685,$236.77
04/26/2023,$209.40,41992730,$212.50,$214.11,$208.88
04/25/2023,$207.55,19198180,$210.815,$211.26,$207.13
04/24/2023,$212.79,15750920,$213.675,$213.92,$210.71
04/21/2023,$212.89,17717170,$210.21,$213.41,$209.58
04/20/2023,$213.07,16475440,$213.48,$216.75,$212.77
04/19/2023,$215.70,15898080,$213.472,$217.33,$212.93
04/18/2023,$217.89,12280980,$219.91,$220.44,$216.21
04/17/2023,$218.86,15481870,$219.79,$220.979,$217.13
04/14/2023,$221.49,21591210,$217.88,$222.11,$217.55
04/13/2023,$220.35,23310360,$215.73,$221.15,$215.69
04/12/2023,$214.00,18972170,$214.835,$216.84,$212.584
04/11/2023,$213.85,16710100,$215.48,$216.02,$213.41
04/10/2023,$214.75,16106070,$214.71,$215.66,$210.66
04/06/2023,$216.10,26104410,$209.25,$216.94,$208.65
04/05/2023,$211.48,19396630,$214.15,$215.19,$209.94
04/04/2023,$214.72,21026370,$213.39,$216.24,$212.54
04/03/2023,$213.07,17924610,$208.84,$213.4861,$208.20
03/31/2023,$211.94,25440270,$207.24,$212.17,$206.77
03/30/2023,$207.84,22608300,$203.38,$208.09,$202.82
03/29/2023,$205.35,18851140,$203.56,$205.72,$202.5355
03/28/2023,$200.68,19127300,$200.15,$201.03,$197.90
03/27/2023,$202.84,18527180,$204.81,$205.86,$201.36
03/24/2023,$206.01,27733040,$205.18,$207.58,$203.55
03/23/2023,$204.28,27389670,$202.84,$207.88,$202.15
03/22/2023,$199.81,28477760,$202.50,$207.37,$199.67
03/21/2023,$202.16,31826950,$203.20,$203.55,$197.95
03/20/2023,$197.81,25186320,$198.48,$199.36,$193.64
03/17/2023,$195.61,50141100,$200.56,$201.90,$195.4304
03/16/2023,$204.93,50819660,$198.26,$205.76,$196.0886
03/15/2023,$197.75,42123550,$192.95,$197.78,$190.8351
03/14/2023,$194.02,41642630,$187.58,$194.32,$186.56
03/13/2023,$180.90,24727970,$177.96,$183.78,$174.82
03/10/2023,$179.51,25665030,$181.01,$184.77,$178.80
03/09/2023,$181.69,26582750,$186.35,$188.93,$180.30
03/08/2023,$184.97,19432410,$182.87,$185.26,$181.34
03/07/2023,$184.51,36701500,$189.00,$190.36,$184.01
03/06/2023,$184.90,33209390,$188.00,$189.66,$184.64
03/03/2023,$185.25,45877690,$178.92,$186.62,$177.05
03/02/2023,$174.53,17360710,$172.38,$175.01,$171.43
03/01/2023,$173.42,30998380,$174.59,$177.85,$173.05
02/28/2023,$174.94,46051120,$171.90,$177.55,$171.87
02/27/2023,$169.54,19277000,$171.875,$173.12,$169.06
02/24/2023,$170.39,19791330,$168.64,$170.72,$167.66
02/23/2023,$172.04,20017780,$172.00,$173.69,$169.38
02/22/2023,$171.12,22433160,$171.07,$172.755,$169.69
02/21/2023,$172.08,34592580,$174.31,$178.17,$171.88
02/17/2023,$172.88,24171260,$170.22,$173.18,$169.70
02/16/2023,$172.44,25827470,$172.75,$175.85,$171.79
02/15/2023,$177.16,25337970,$176.415,$178.19,$175.33
02/14/2023,$179.48,24034630,$177.16,$181.5064,$175.88
02/13/2023,$179.43,31463220,$178.215,$181.00,$175.82
02/10/2023,$174.15,33433570,$176.353,$178.89,$173.35
02/09/2023,$177.92,37118810,$186.13,$186.65,$177.27
02/08/2023,$183.43,36139070,$190.00,$190.83,$182.92
02/07/2023,$191.62,47080660,$185.575,$193.7799,$184.40
02/06/2023,$186.06,42483810,$186.53,$190.70,$185.5156
02/03/2023,$186.53,76809700,$183.465,$196.77,$182.89
02/02/2023,$188.77,150475700,$183.38,$197.16,$180.16
02/01/2023,$153.12,55661020,$148.03,$153.58,$147.06
01/31/2023,$148.97,29842110,$147.95,$149.88,$147.52
01/30/2023,$147.06,28040100,$149.405,$151.1233,$146.95
01/27/2023,$151.74,35771870,$148.237,$153.19,$147.39
01/26/2023,$147.30,25482080,$144.40,$147.51,$143.30
01/25/2023,$141.50,26622020,$141.22,$143.17,$140.31
01/24/2023,$143.14,21970190,$141.69,$145.00,$141.36
01/23/2023,$143.27,27470090,$139.29,$143.76,$138.66
01/20/2023,$139.37,28688630,$135.89,$139.94,$134.61
01/19/2023,$136.15,28625230,$132.49,$137.45,$132.14
01/18/2023,$133.02,20215490,$135.81,$137.25,$132.80
01/17/2023,$135.36,21147590,$136.176,$136.75,$134.25
01/13/2023,$136.98,22423840,$134.97,$137.39,$134.835
01/12/2023,$136.71,30757730,$133.44,$137.6781,$131.76
01/11/2023,$132.89,25423050,$130.96,$133.8494,$130.34
01/10/2023,$132.99,28684430,$127.27,$133.44,$127.15
01/09/2023,$129.47,26649150,$131.16,$132.95,$129.28
01/06/2023,$130.02,27584500,$128.97,$130.33,$126.04
01/05/2023,$126.94,25447100,$126.125,$128.52,$124.54
01/04/2023,$127.37,32397090,$127.38,$129.0498,$125.85
01/03/2023,$124.74,35528530,$122.82,$126.37,$122.28
12/30/2022,$120.34,19583830,$118.16,$120.42,$117.74
12/29/2022,$120.26,22366190,$116.40,$121.03,$115.77
12/28/2022,$115.62,19612470,$116.25,$118.15,$115.51
12/27/2022,$116.88,21392310,$117.93,$118.60,$116.0501
12/23/2022,$118.04,17796630,$116.03,$118.175,$115.535
12/22/2022,$117.12,23618120,$117.20,$118.62,$114.38
12/21/2022,$119.76,20392800,$116.70,$120.34,$115.62
12/20/2022,$117.09,28742500,$113.26,$117.33,$112.46
12/19/2022,$114.48,29769880,$116.83,$117.80,$114.331
12/16/2022,$119.43,67064000,$120.23,$123.31,$118.8214
12/15/2022,$116.15,34530970,$118.33,$118.625,$114.01
12/14/2022,$121.59,36922040,$119.39,$124.14,$119.39
12/13/2022,$120.15,44701050,$122.13,$123.30,$118.64
12/12/2022,$114.71,24747060,$115.18,$115.72,$113.14
12/09/2022,$115.90,26033350,$115.30,$117.54,$113.87
12/08/2022,$115.33,30619420,$116.39,$117.34,$114.59
12/07/2022,$113.93,29461140,$113.76,$115.88,$112.88
12/06/2022,$114.12,43689180,$119.91,$120.55,$113.74
12/05/2022,$122.43,35474880,$121.75,$124.67,$121.35
12/02/2022,$123.49,39950460,$117.83,$124.04,$117.61
12/01/2022,$120.44,36551370,$119.198,$121.20,$118.40
11/30/2022,$118.10,43348560,$109.505,$118.16,$109.38
11/29/2022,$109.46,23899240,$109.54,$110.94,$108.5437
11/28/2022,$108.78,23332820,$110.78,$112.04,$108.38
11/25/2022,$111.41,12007570,$111.30,$112.73,$111.02
11/23/2022,$112.24,21343080,$111.72,$112.67,$110.73
11/22/2022,$111.44,29028960,$109.86,$111.62,$108.3216
11/21/2022,$109.86,24351070,$111.52,$112.3699,$109.19
11/18/2022,$112.05,33357710,$113.80,$114.32,$110.62
11/17/2022,$111.45,35093820,$110.41,$112.33,$109.80
11/16/2022,$113.23,33287770,$114.50,$116.075,$112.66
11/15/2022,$117.08,50670500,$116.07,$118.74,$114.4116
11/14/2022,$114.22,53394970,$110.99,$116.27,$110.80
11/11/2022,$113.02,59961740,$109.23,$114.90,$108.81
11/10/2022,$111.87,80670960,$107.12,$112.75,$104.61
11/09/2022,$101.47,107677300,$101.72,$104.90,$100.74
11/08/2022,$96.47,52088320,$95.92,$97.80,$94.79
11/07/2022,$96.72,81987300,$94.78,$96.88,$93.10
11/04/2022,$90.79,55638060,$90.35,$91.39,$88.09
11/03/2022,$88.91,60664010,$90.08,$90.4576,$88.41
11/02/2022,$90.54,71821060,$94.205,$95.20,$90.48
11/01/2022,$95.20,110189600,$94.33,$97.49,$93.55
10/31/2022,$93.16,121361400,$98.22,$99.32,$92.60
10/28/2022,$99.20,95928310,$99.58,$100.85,$97.51
10/27/2022,$97.94,232316600,$97.975,$102.50,$96.38
10/26/2022,$129.82,89294680,$131.68,$135.55,$128.53
10/25/2022,$137.51,38433220,$130.875,$138.35,$130.59
10/24/2022,$129.72,63563450,$127.25,$133.48,$124.57
10/21/2022,$130.01,46348650,$126.31,$130.12,$125.44
10/20/2022,$131.53,26356280,$132.93,$136.77,$131.31
10/19/2022,$133.23,30691050,$132.89,$137.00,$132.22
10/18/2022,$132.80,25444980,$137.085,$137.8399,$131.40
10/17/2022,$134.04,29612250,$130.30,$134.79,$130.18
